Unnamed: 0,Unnamed: 1,Unnamed: 2, Affirmations,Tag,Unnamed: 5,bg_Translation,hr_Translation,cs_Translation,da_Translation,nl_Translation,en_Translation,et_Translation
,,,I am grateful for the abundance that flows into my life.,positive,,Translated: I am grateful for the abundance that flows into my life. to bg,Translated: I am grateful for the abundance that flows into my life. to hr,Translated: I am grateful for the abundance that flows into my life. to cs,Translated: I am grateful for the abundance that flows into my life. to da,Translated: I am grateful for the abundance that flows into my life. to nl,Translated: I am grateful for the abundance that flows into my life. to en,Translated: I am grateful for the abundance that flows into my life. to et
,,,I am a magnet for positive relationships.,positive,,Translated: I am a magnet for positive relationships. to bg,Translated: I am a magnet for positive relationships. to hr,Translated: I am a magnet for positive relationships. to cs,Translated: I am a magnet for positive relationships. to da,Translated: I am a magnet for positive relationships. to nl,Translated: I am a magnet for positive relationships. to en,Translated: I am a magnet for positive relationships. to et
,,,I am constantly evolving into the best version of myself.,positive,,Translated: I am constantly evolving into the best version of myself. to bg,Translated: I am constantly evolving into the best version of myself. to hr,Translated: I am constantly evolving into the best version of myself. to cs,Translated: I am constantly evolving into the best version of myself. to da,Translated: I am constantly evolving into the best version of myself. to nl,Translated: I am constantly evolving into the best version of myself. to en,Translated: I am constantly evolving into the best version of myself. to et
,,,I am deserving of all the good things life has to offer.,positive,,Translated: I am deserving of all the good things life has to offer. to bg,Translated: I am deserving of all the good things life has to offer. to hr,Translated: I am deserving of all the good things life has to offer. to cs,Translated: I am deserving of all the good things life has to offer. to da,Translated: I am deserving of all the good things life has to offer. to nl,Translated: I am deserving of all the good things life has to offer. to en,Translated: I am deserving of all the good things life has to offer. to et
,,,I am a beacon of light and love.,positive,,Translated: I am a beacon of light and love. to bg,Translated: I am a beacon of light and love. to hr,Translated: I am a beacon of light and love. to cs,Translated: I am a beacon of light and love. to da,Translated: I am a beacon of light and love. to nl,Translated: I am a beacon of light and love. to en,Translated: I am a beacon of light and love. to et
,,,I am attracting miracles into my life.,positive,,Translated: I am attracting miracles into my life. to bg,Translated: I am attracting miracles into my life. to hr,Translated: I am attracting miracles into my life. to cs,Translated: I am attracting miracles into my life. to da,Translated: I am attracting miracles into my life. to nl,Translated: I am attracting miracles into my life. to en,Translated: I am attracting miracles into my life. to et
,,,"I am resilient, strong, and courageous.",positive,,"Translated: I am resilient, strong, and courageous. to bg","Translated: I am resilient, strong, and courageous. to hr","Translated: I am resilient, strong, and courageous. to cs","Translated: I am resilient, strong, and courageous. to da","Translated: I am resilient, strong, and courageous. to nl","Translated: I am resilient, strong, and courageous. to en","Translated: I am resilient, strong, and courageous. to et"
,,,I am in charge of how I feel,positive,,Translated: I am in charge of how I feel to bg,Translated: I am in charge of how I feel to hr,Translated: I am in charge of how I feel to cs,Translated: I am in charge of how I feel to da,Translated: I am in charge of how I feel to nl,Translated: I am in charge of how I feel to en,Translated: I am in charge of how I feel to et
,,,"I am at peace with my past, present, and future.",positive,,"Translated: I am at peace with my past, present, and future. to bg","Translated: I am at peace with my past, present, and future. to hr","Translated: I am at peace with my past, present, and future. to cs","Translated: I am at peace with my past, present, and future. to da","Translated: I am at peace with my past, present, and future. to nl","Translated: I am at peace with my past, present, and future. to en","Translated: I am at peace with my past, present, and future. to et"
,,,"I am a constant learner, and I embrace growth.",positive,,"Translated: I am a constant learner, and I embrace growth. to bg","Translated: I am a constant learner, and I embrace growth. to hr","Translated: I am a constant learner, and I embrace growth. to cs","Translated: I am a constant learner, and I embrace growth. to da","Translated: I am a constant learner, and I embrace growth. to nl","Translated: I am a constant learner, and I embrace growth. to en","Translated: I am a constant learner, and I embrace growth. to et"
,,,I am surrounded by positive and supportive energy.,positive,,Translated: I am surrounded by positive and supportive energy. to bg,Translated: I am surrounded by positive and supportive energy. to hr,Translated: I am surrounded by positive and supportive energy. to cs,Translated: I am surrounded by positive and supportive energy. to da,Translated: I am surrounded by positive and supportive energy. to nl,Translated: I am surrounded by positive and supportive energy. to en,Translated: I am surrounded by positive and supportive energy. to et
